Company,Domain,Amount,Round,Investors,Technographic_Fit
Nema,https://nemos.tech,7500000,Series B,"Sequoia Capital, Vy Capital",High
Iambic,https://iambic.ai,100000000,Funding,"Abingworth, Alexandria Venture",High
AirOps,https://airops.com,4000000,Series A,"Wing Venture Capital",Medium
Majestic Labs,https://majestic-labs.ai,10000000,Series A,"Bow Wave Capital",High
Gamma,https://gamma.app,60000000,Series B,"Andreessen Horowitz",High
CoLab,https://colabsoftware.com,72000000,Series C,"Insight Partners",Medium
RTP Data,https://rtpdata.io,2500000,Seed,"Las Olas Venture Capital",Low
Spectral Compute,https://spectralcompute.com,6000000,Seed,"Costanoa",High
TRIP,https://us.drink-trip.com,4000000,Seed,"Joe Jonas",Medium
Arkyn,https://arkyn.io,4400000,Seed,"Compounding Capital",Low
1mind,https://1mind.com,4000000,Series A,"Battery Ventures",High
Digital,https://digital.com,2300000,Series U,"Five Elms Capital",Medium
Lighthouse Canton,https://lighthouse-canton.com,4000000,Strategic,"Peak XV Partners",Low
Addi,https://co.addi.com,71000000,Credit,"Goldman Sachs",Low
Frike Capital,https://erikacapital.com,100000000,First Close,"British International Investment",Low
Gliding Deer,https://glidingdeer.com,7000000,Unknown,"Wyndham Wealth",Low
Cassidy Rio,https://cassidybio.com,5000000,Seed,"Ahran Innovation Capital",Medium
QUlulate,https://qsimulate.com,11000000,Seed,"Embark Ventures",High
Taika,https://taika.tech,3700000,Series A,"L'Oreal Capital",Medium
Twenty,https://twenty.io,Unknown,Series A,"Caffeinated Capital",High
Point One Navigation,https://pointonenav.com,3500000,Series A,"Khosla Ventures",Low
Genspark,https://genspark.ai,27500000,Series B,"Lanchi Ventures",High
Redrob,https://redrob.io,10000000,Series A,"Korea Investment Partners",Medium
Parola,https://parolahealth.com,2700000,Growth,"Prelude Growth Partners",High
Cavela AI,https://cavela.com,6600000,Seed,"Susa Ventures",High
Nestxi,https://nestxi.com,11000000,Unknown,"Nokia",Low
Voio,https://voio.com,8600000,Seed,"Lauda Ventures",High
Krakon,https://kraken.com,80000000,Funding,"Jane Street",Medium
Wispr,https://wisprflow.ai,2500000,Series A,"Notable Capital",High
Secure.com,https://secure.com,4500000,First Funding,"Disrupt.com",Low
Norm AI,https://norm.ai,5000000,Series A,"Blackstone",High
Staat Technologies,https://staat.ai,29500000,Series A,"Andreessen Horowitz",High
